security,datetime,open,high,low,close,RSI,STOCHASTIC,ATR
EUR_USD,2011-04-27 21:00:00,1.48223,1.4882,1.47872,1.47693,66.1184667917173,71.692294285513,0.01666035756748331
EUR_USD,2011-04-28 21:00:00,1.48074,1.4878,1.48225,1.48042,66.75575134322835,80.58460807904919,0.015502286053986637
EUR_USD,2011-04-29 21:00:00,1.48074,1.48074,1.48074,1.48074,66.81495663608514,86.35895852629424,0.012465828843189286
EUR_USD,2011-04-30 21:00:00,1.48074,1.48074,1.48074,1.48074,66.81495663608514,88.31944015642692,0.009972663074551429
EUR_USD,2011-05-01 21:00:00,1.48301,1.49018,1.48074,1.47628,65.08608187678738,85.38244975095995,0.009866130459641166
EUR_USD,2011-05-02 21:00:00,1.48257,1.48902,1.48299,1.47545,64.76346549714123,81.86637965878329,0.010440904367712929
EUR_USD,2011-05-03 21:00:00,1.48271,1.49402,1.48254,1.47752,65.20839202063226,77.91464470987074,0.012066723494170338
EUR_USD,2011-05-04 21:00:00,1.45382,1.48992,1.48268,1.45103,55.86932667730328,64.55747788789749,0.012133378795336266
EUR_USD,2011-05-05 21:00:00,1.4314,1.45877,1.45389,1.43102,50.24604086903336,42.16713881019841,0.011254703036268984
EUR_USD,2011-05-06 21:00:00,1.4314,1.4314,1.4314,1.4314,50.344226116625364,20.391879131256037,0.009079762429015198
EUR_USD,2011-05-07 21:00:00,1.43638,1.43966,1.4314,1.4314,50.344226116625364,11.123701605288126,0.008915809943212146
EUR_USD,2011-05-08 21:00:00,1.43652,1.44423,1.43634,1.42545,48.73276607898322,4.368158555780786,0.009698647954569697
EUR_USD,2011-05-09 21:00:00,1.44092,1.44127,1.43655,1.42709,49.196441571949755,-1.6938085108884833,0.010922918363655748
EUR_USD,2011-05-10 21:00:00,1.41919,1.44232,1.44095,1.41729,46.59156562746858,-12.972426274885576,0.011784334690924615
EUR_USD,2011-05-11 21:00:00,1.42459,1.42766,1.41921,1.41232,45.33230753517789,-12.875173620220552,0.01150146775273969
EUR_USD,2011-05-12 21:00:00,1.41184,1.43399,1.42457,1.40666,43.93341076870918,-16.172855971989947,0.013535174202191767
EUR_USD,2011-05-13 21:00:00,1.41184,1.41184,1.41184,1.41184,45.52493118023207,-8.661943590429162,0.011864139361753406
EUR_USD,2011-05-14 21:00:00,1.40909,1.41184,1.41184,1.40723,44.365492446515134,-7.461823163121692,0.009491311489402725
EUR_USD,2011-05-15 21:00:00,1.41559,1.42446,1.40911,1.40484,43.7676700691505,-3.5461638207164783,0.011039049191522196
EUR_USD,2011-05-16 21:00:00,1.42372,1.42383,1.41563,1.4121,46.05202702765784,-2.3723719626707704,0.012629239353217725
EUR_USD,2011-05-17 21:00:00,1.42491,1.42869,1.42369,1.41953,48.27656930055323,3.58811290385888,0.0134213914825742
EUR_USD,2011-05-18 21:00:00,1.43091,1.43256,1.42489,1.42068,48.61582503943888,9.806461743807017,0.013343113186059382
EUR_USD,2011-05-19 21:00:00,1.41561,1.43456,1.43095,1.41335,46.60043440395161,10.297177403525227,0.013450490548847529
EUR_USD,2011-05-20 21:00:00,1.41561,1.41561,1.41561,1.41561,47.29728913326136,8.758293094649188,0.01121239243907801
EUR_USD,2011-05-21 21:00:00,1.41258,1.41561,1.41561,1.41094,46.013707617193,4.934636674125543,0.008969913951262409
EUR_USD,2011-05-22 21:00:00,1.40479,1.41468,1.41256,1.39698,42.4511003367884,-1.4917756055431373,0.007923931161009898
